timestamp,x_vel,y_vel,vel,x_accel,y_accel,accel
0,1443.657958984375,672.9022827148438,0.0,1443.657958984375,672.9022827148438,0.0
0.034,721.8786010742188,336.4263610839844,5.78,-721.7793579101562,-336.4759216308594,5.78
0.059,721.6614990234375,335.2621765136719,7.76,-0.21710205078125,-1.1641845703125,0.01
0.09,0.16644287109375,-0.96124267578125,0.01,-721.4950561523438,-336.2234191894531,6.28
0.122,0.08831787109375,-1.114898681640625,0.01,-0.078125,-0.153656005859375,0.0
0.155,0.12451171875,0.54083251953125,0.0,0.03619384765625,1.655731201171875,0.01
0.187,-0.4190673828125,-0.224365234375,0.0,-0.5435791015625,-0.76519775390625,0.01
0.218,-0.55859375,0.033721923828125,0.0,-0.1395263671875,0.258087158203125,0.0
0.251,-0.6654052734375,-0.763153076171875,0.01,-0.1068115234375,-0.796875,0.01
0.283,-0.79901123046875,-0.1727294921875,0.01,-0.13360595703125,0.590423583984375,0.0
0.315,-0.97369384765625,-0.0418701171875,0.01,-0.1746826171875,0.130859375,0.0
0.347,-0.75946044921875,0.056976318359375,0.01,0.2142333984375,0.098846435546875,0.0
0.379,-0.4603271484375,-0.224761962890625,0.0,0.29913330078125,-0.28173828125,0.0
0.426,0.30316162109375,-0.4853515625,0.0,0.76348876953125,-0.260589599609375,0.0
0.459,0.98028564453125,-0.214874267578125,0.01,0.6771240234375,0.270477294921875,0.01
0.49,1.7725830078125,-0.015716552734375,0.01,0.79229736328125,0.19915771484375,0.01
0.522,1.9002685546875,0.71331787109375,0.02,0.127685546875,0.729034423828125,0.01
0.555,1.90447998046875,0.18792724609375,0.01,0.00421142578125,-0.525390625,0.0
0.587,0.7847900390625,0.643463134765625,0.01,-1.11968994140625,0.455535888671875,0.01
0.618,0.2530517578125,-0.534912109375,0.0,-0.53173828125,-1.178375244140625,0.01
0.651,-0.37152099609375,-0.074249267578125,0.0,-0.62457275390625,0.460662841796875,0.01
0.682,-0.54681396484375,-1.171142578125,0.01,-0.17529296875,-1.096893310546875,0.01
0.715,-2.2769775390625,-1.732879638671875,0.02,-1.73016357421875,-0.561737060546875,0.01
0.746,-5.481201171875,-4.752960205078125,0.06,-3.2042236328125,-3.02008056640625,0.03
