timestamp,x_vel,y_vel,vel,x_accel,y_accel,accel
0,0,0,0,0,0,0
0.039,0,0,0,0,0,0
0.058,0,0,0,0,0,0
0.077,0,0,0,0,0,0
0.123,0,0,0,0,0,0
0.158,0,0,0,0,0,0
0.17,0,0,0,0,0,0
0.183,0,0,0,0,0,0
0.195,0,0,0,0,0,0
0.209,0,0,0,0,0,0
0.222,0,0,0,0,0,0
0.233,0,0,0,0,0,0
0.247,0,0,0,0,0,0
0.26,0,0,0,0,0,0
0.271,1186.69775390625,1000.8973388671875,44.7,1186.69775390625,1000.8973388671875,44.7
0.284,622.25,474.25,21.73,-564.44775390625,-526.6473388671875,21.44
0.297,628.5,429.75,19.87,6.25,-44.5,1.17
0.31,32.90289306640625,-104.82632446289062,3.02,-595.5971069335938,-534.5763244628906,21.98
0.323,-8.25,-108.5,3.64,-41.15289306640625,-3.673675537109375,1.38
0.337,-28.179931640625,-79.5732421875,3.45,-19.929931640625,28.9267578125,1.44
0.349,-30.8197021484375,-49.8118896484375,2.68,-2.6397705078125,29.7613525390625,1.37
0.362,-14.96319580078125,-19.572174072265625,1.21,15.85650634765625,30.239715576171875,1.67
0.375,5.15765380859375,-2.016876220703125,0.25,20.120849609375,17.5552978515625,1.22
0.388,19.31793212890625,0.439544677734375,1.04,14.1602783203125,2.4564208984375,0.77
0.402,20.21319580078125,-2.677825927734375,1.06,0.895263671875,-3.11737060546875,0.17
0.415,17.19903564453125,-8.629669189453125,1.09,-3.01416015625,-5.95184326171875,0.38
0.427,12.02703857421875,-11.418914794921875,1.05,-5.1719970703125,-2.78924560546875,0.37
0.441,11.5,-13.0,1.05,-0.52703857421875,-1.581085205078125,0.1
0.453,14.3232421875,-13.53021240234375,1.36,2.8232421875,-0.53021240234375,0.2
0.466,15.22296142578125,-13.331085205078125,1.4,0.89971923828125,0.199127197265625,0.06
0.479,18.0,-13.5,1.71,2.77703857421875,-0.168914794921875,0.21
0.491,17.25,-13.25,1.65,-0.75,0.25,0.06
0.505,19.0,-11.25,1.54,1.75,2.0,0.19
0.517,19.75,-8.0,1.66,0.75,3.25,0.26
0.53,20.25,-4.0,1.58,0.5,4.0,0.31
0.543,23.0,-2.75,1.68,2.75,1.25,0.22
0.557,24.25,-1.25,1.69,1.25,1.5,0.14
0.572,31.52752685546875,-0.566070556640625,2.18,7.27752685546875,0.683929443359375,0.51
0.587,212.731689453125,108.14328002929688,8.05,181.20416259765625,108.7093505859375,7.13
0.601,43.2542724609375,-0.16534423828125,3.08,-169.4774169921875,-108.30862426757812,14.3
0.615,193.72247314453125,95.31607055664062,9.14,150.46820068359375,95.48141479492188,7.54
0.628,24.77191162109375,-11.68902587890625,1.21,-168.9505615234375,-107.00509643554688,8.82
0.641,182.2457275390625,92.41534423828125,8.29,157.47381591796875,104.1043701171875,7.66
0.653,10.0,-3.0,0.39,-172.2457275390625,-95.41534423828125,7.44
0.666,-5.8502197265625,-3.8775634765625,0.42,-15.8502197265625,-0.8775634765625,0.96
0.678,-0.4962158203125,2.380096435546875,0.17,5.35400390625,6.257659912109375,0.57
0.692,-120.25,-126.25,13.19,-119.7537841796875,-128.63009643554688,13.3
0.705,-126.65338134765625,-130.32669067382812,15.51,-6.40338134765625,-4.076690673828125,0.65
0.718,-130.369140625,-135.4954833984375,16.28,-3.71575927734375,-5.168792724609375,0.55
0.73,-2.48126220703125,-9.864471435546875,0.92,127.88787841796875,125.63101196289062,16.21
0.743,-0.338623046875,-6.9964599609375,0.64,2.14263916015625,2.868011474609375,0.32
0.755,2.4444580078125,-3.72027587890625,0.42,2.7830810546875,3.27618408203125,0.4
0.767,5.20050048828125,-1.0345458984375,0.47,2.75604248046875,2.68572998046875,0.34
0.781,7.0252685546875,0.651397705078125,0.56,1.82476806640625,1.685943603515625,0.2
0.792,10.25762939453125,-0.257537841796875,0.97,3.23236083984375,-0.908935546875,0.32
0.805,10.1658935546875,-0.850982666015625,0.85,-0.09173583984375,-0.59344482421875,0.05
0.817,8.4442138671875,-2.35626220703125,0.8,-1.7216796875,-1.505279541015625,0.21
0.83,5.76080322265625,-3.059234619140625,0.58,-2.68341064453125,-0.702972412109375,0.25
0.842,6.72369384765625,-4.9005126953125,0.74,0.962890625,-1.841278076171875,0.18
0.855,8.7664794921875,-5.8557586669921875,0.97,2.04278564453125,-0.9552459716796875,0.21
0.867,10.97979736328125,-7.1065826416015625,1.26,2.21331787109375,-1.250823974609375,0.25
0.88,10.14117431640625,-1.5994873046875,1.12,-0.838623046875,5.5070953369140625,0.61
0.893,4.3526611328125,0.0570831298828125,0.61,-5.78851318359375,1.6565704345703125,0.84
0.905,-1.82733154296875,3.2590179443359375,1.13,-6.17999267578125,3.201934814453125,2.11
0.917,104.0,-41.5,33.58,105.82733154296875,-44.75901794433594,34.45
0.929,111.5,103.25,55.14,7.5,144.75,52.59
0.942,131.25,86.5,60.02,19.75,-16.75,9.89
0.955,28.58868408203125,45.5,8.28,-102.66131591796875,-41.0,17.03
0.967,21.0,-96.5,11.42,-7.58868408203125,-142.0,16.44
0.981,8.4761962890625,-81.5,15.5,-12.5238037109375,15.0,3.7
0.996,-0.08868408203125,1.0,0.13,-8.56488037109375,82.5,10.8
1.01,-0.5,0.45001220703125,0.24,-0.41131591796875,-0.54998779296875,0.24
1.022,-46.4761962890625,87.25,37.64,-45.9761962890625,86.79998779296875,37.4
1.035,-27.75,-121.5,26.58,18.7261962890625,-208.75,44.7
1.049,-2.61968994140625,22.36572265625,4.98,25.13031005859375,143.86572265625,32.31
1.061,32.5,-62.0,14.09,35.11968994140625,-84.36572265625,18.39
1.076,32.1964111328125,137.5,34.23,-0.3035888671875,199.5,48.35
1.093,4.21966552734375,-20.56573486328125,2.31,-27.97674560546875,-158.06573486328125,17.67
1.109,-20.5,28.0,6.21,-24.71966552734375,48.56573486328125,9.75
1.125,-21.6964111328125,-84.0,18.43,-1.1964111328125,-112.0,23.79
1.141,-26.0999755859375,36.25,10.48,-4.403564453125,120.25,28.23
1.156,-1.0738525390625,-12.397735595703125,2.7,25.026123046875,-48.647735595703125,11.85
1.172,-19.5,113.0,29.78,-18.4261474609375,125.39773559570312,32.92
1.187,-13.5,-31.75,8.02,6.0,-144.75,33.68
1.204,-66.93499755859375,24.477142333984375,14.05,-53.43499755859375,56.227142333984375,15.29
1.219,-64.75,22.0,15.21,2.18499755859375,-2.477142333984375,0.73
1.232,25.72222900390625,-77.5,32.43,90.47222900390625,-99.5,53.4
1.249,9.25885009765625,-0.82940673828125,5.0,-16.46337890625,76.67059326171875,42.16
1.265,67.5,-325.75,122.24,58.24114990234375,-324.92059326171875,121.3
1.278,-32.47222900390625,83.25,28.62,-99.97222900390625,409.0,134.83
1.291,58.4620361328125,-111.37042236328125,28.66,90.93426513671875,-194.62042236328125,48.94
1.304,-16.25,315.25,64.06,-74.7120361328125,426.62042236328125,87.89
1.317,12.75,-37.0,9.34,29.0,-352.25,84.38
1.331,-13.7120361328125,-67.87957763671875,19.04,-26.4620361328125,-30.87957763671875,11.18
1.345,5.0,-171.0,52.09,18.7120361328125,-103.12042236328125,31.91
1.356,-60.0,65.75,14.5,-65.0,236.75,39.99
1.369,-48.21551513671875,159.6810302734375,27.58,11.78448486328125,93.9310302734375,15.65
1.381,-48.43804931640625,158.11752319335938,30.96,-0.2225341796875,-1.563507080078125,0.3
1.393,65.5,-77.75,43.26,113.93804931640625,-235.86752319335938,111.47
1.406,-103.78448486328125,-131.6810302734375,38.11,-169.28448486328125,-53.9310302734375,40.38
1.418,-105.385498046875,-128.11752319335938,24.82,-1.60101318359375,3.563507080078125,0.58
1.431,-174.5186767578125,-47.57710266113281,27.68,-69.1331787109375,80.54042053222656,16.24
1.443,-7.75,2.25,1.35,166.7686767578125,49.82710266113281,29.12
1.455,-9.12017822265625,-0.550567626953125,1.52,-1.37017822265625,-2.800567626953125,0.52
1.468,-6.18719482421875,-2.6728973388671875,1.01,2.9329833984375,-2.1223297119140625,0.54
1.48,-5.8455810546875,-1.0,0.92,0.34161376953125,1.6728973388671875,0.26
1.492,-3.5562744140625,1.300567626953125,0.54,2.289306640625,2.300567626953125,0.46
1.505,-1.98858642578125,1.0,0.3,1.56768798828125,-0.300567626953125,0.22
1.518,0.32635498046875,0.1730804443359375,0.05,2.31494140625,-0.8269195556640625,0.33
1.532,1.5,-2.75,0.4,1.17364501953125,-2.9230804443359375,0.41
1.546,2.025634765625,-2.2601470947265625,0.4,0.525634765625,0.4898529052734375,0.1
1.558,1.66162109375,-1.593963623046875,0.34,-0.364013671875,0.6661834716796875,0.11
1.572,2.0,0.0,0.26,0.33837890625,1.593963623046875,0.21
1.583,1.6688232421875,-0.4898529052734375,0.26,-0.3311767578125,-0.4898529052734375,0.09
1.598,1.35760498046875,-3.3291168212890625,0.46,-0.31121826171875,-2.839263916015625,0.37
1.61,0.5,-5.5,0.83,-0.85760498046875,-2.1708831787109375,0.35
1.622,-0.203125,-7.75,1.29,-0.703125,-2.25,0.39
1.635,-0.66668701171875,-8.305557250976562,1.26,-0.46356201171875,-0.5555572509765625,0.11
1.647,-1.5,-11.0,1.68,-0.83331298828125,-2.6944427490234375,0.43
1.659,-1.296875,-13.25,2.2,0.203125,-2.25,0.37
1.671,-1.33331298828125,-14.444442749023438,2.26,-0.03643798828125,-1.1944427490234375,0.19
1.684,-1.3248291015625,-14.643707275390625,2.31,0.00848388671875,-0.1992645263671875,0.03
1.698,-2.5,-13.0,1.89,-1.1751708984375,1.643707275390625,0.29
1.71,-3.1868896484375,-11.504669189453125,1.91,-0.6868896484375,1.495330810546875,0.26
1.723,-4.13812255859375,-9.9674072265625,1.54,-0.95123291015625,1.537261962890625,0.26
1.736,-3.64288330078125,-9.678573608398438,1.48,0.4952392578125,0.2888336181640625,0.08
1.749,-3.4725341796875,-11.083694458007812,1.74,0.17034912109375,-1.405120849609375,0.21
1.761,-1.53704833984375,-11.888885498046875,1.78,1.93548583984375,-0.8051910400390625,0.31
1.773,-0.6502685546875,-11.995285034179688,1.87,0.88677978515625,-0.1063995361328125,0.14
1.787,-0.19818115234375,-9.83251953125,1.29,0.45208740234375,2.1627655029296875,0.29
1.8,-0.58575439453125,-7.520988464355469,1.06,-0.3875732421875,2.3115310668945312,0.33
1.812,-0.70684814453125,-5.326141357421875,0.78,-0.12109375,2.1948471069335938,0.32
1.825,-1.39239501953125,-5.5791168212890625,0.85,-0.685546875,-0.2529754638671875,0.11
1.837,-1.41424560546875,-4.729011535644531,0.72,-0.0218505859375,0.8501052856445312,0.12
1.852,-2.468505859375,-4.4704742431640625,0.6,-1.05426025390625,0.25853729248046875,0.13
1.865,-1.0714111328125,-2.75,0.38,1.3970947265625,1.7204742431640625,0.28
