timestamp,x_vel,y_vel,vel,x_accel,y_accel,accel
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
13.012,1186.69775390625,1000.8973388671875,42.87,1186.69775390625,1000.8973388671875,42.87
13.026,622.25,474.25,20.2,-564.44775390625,-526.6473388671875,19.93
13.039,628.5,429.75,19.14,6.25,-44.5,1.13
13.052,32.90289306640625,-104.82632446289062,3.14,-595.5971069335938,-534.5763244628906,22.85
13.066,-8.25,-108.5,3.38,-41.15289306640625,-3.673675537109375,1.28
13.078,-28.179931640625,-79.5732421875,3.75,-19.929931640625,28.9267578125,1.56
13.09,-30.8197021484375,-49.8118896484375,2.79,-2.6397705078125,29.7613525390625,1.42
13.103,-14.96319580078125,-19.572174072265625,1.16,15.85650634765625,30.239715576171875,1.61
13.116,5.15765380859375,-2.016876220703125,0.27,20.120849609375,17.5552978515625,1.31
13.129,19.31793212890625,0.439544677734375,1.0,14.1602783203125,2.4564208984375,0.74
13.144,20.21319580078125,-2.677825927734375,0.95,0.895263671875,-3.11737060546875,0.15
13.158,17.19903564453125,-8.629669189453125,1.03,-3.01416015625,-5.95184326171875,0.36
13.173,12.02703857421875,-11.418914794921875,0.88,-5.1719970703125,-2.78924560546875,0.31
13.188,11.5,-13.0,0.95,-0.52703857421875,-1.581085205078125,0.09
13.202,14.3232421875,-13.53021240234375,1.21,2.8232421875,-0.53021240234375,0.18
13.217,15.22296142578125,-13.331085205078125,1.21,0.89971923828125,0.199127197265625,0.06
13.232,18.0,-13.5,1.43,2.77703857421875,-0.168914794921875,0.18
13.247,17.25,-13.25,1.37,-0.75,0.25,0.05
13.262,19.0,-11.25,1.39,1.75,2.0,0.17
13.278,19.75,-8.0,1.3,0.75,3.25,0.2
13.293,20.25,-4.0,1.32,0.5,4.0,0.26
13.308,23.0,-2.75,1.51,2.75,1.25,0.2
13.322,24.25,-1.25,1.69,1.25,1.5,0.14
13.338,31.52752685546875,-0.566070556640625,1.98,7.27752685546875,0.683929443359375,0.46
13.352,212.731689453125,108.14328002929688,8.63,181.20416259765625,108.7093505859375,7.65
13.367,43.2542724609375,-0.16534423828125,2.92,-169.4774169921875,-108.30862426757812,13.57
13.382,193.72247314453125,95.31607055664062,8.23,150.46820068359375,95.48141479492188,6.79
13.397,24.77191162109375,-11.68902587890625,1.09,-168.9505615234375,-107.00509643554688,7.95
13.411,182.2457275390625,92.41534423828125,7.41,157.47381591796875,104.1043701171875,6.85
13.425,10.0,-3.0,0.35,-172.2457275390625,-95.41534423828125,6.65
13.44,-5.8502197265625,-3.8775634765625,0.37,-15.8502197265625,-0.8775634765625,0.83
13.456,-0.4962158203125,2.380096435546875,0.12,5.35400390625,6.257659912109375,0.41
13.472,-120.25,-126.25,11.96,-119.7537841796875,-128.63009643554688,12.06
13.486,-126.65338134765625,-130.32669067382812,14.41,-6.40338134765625,-4.076690673828125,0.6
13.5,-130.369140625,-135.4954833984375,14.7,-3.71575927734375,-5.168792724609375,0.5
13.514,-2.48126220703125,-9.864471435546875,0.8,127.88787841796875,125.63101196289062,14.18
13.529,-0.338623046875,-6.9964599609375,0.53,2.14263916015625,2.868011474609375,0.27
13.542,2.4444580078125,-3.72027587890625,0.39,2.7830810546875,3.27618408203125,0.37
13.556,5.20050048828125,-1.0345458984375,0.42,2.75604248046875,2.68572998046875,0.31
13.57,7.0252685546875,0.651397705078125,0.54,1.82476806640625,1.685943603515625,0.19
13.585,10.25762939453125,-0.257537841796875,0.74,3.23236083984375,-0.908935546875,0.24
13.6,10.1658935546875,-0.850982666015625,0.74,-0.09173583984375,-0.59344482421875,0.04
13.613,8.4442138671875,-2.35626220703125,0.74,-1.7216796875,-1.505279541015625,0.19
13.628,5.76080322265625,-3.059234619140625,0.48,-2.68341064453125,-0.702972412109375,0.21
13.642,6.72369384765625,-4.9005126953125,0.66,0.962890625,-1.841278076171875,0.16
13.655,8.7664794921875,-5.8557586669921875,0.93,2.04278564453125,-0.9552459716796875,0.2
13.669,10.97979736328125,-7.1065826416015625,1.08,2.21331787109375,-1.250823974609375,0.21
13.683,10.14117431640625,-1.5994873046875,1.08,-0.838623046875,5.5070953369140625,0.59
13.697,4.3526611328125,0.0570831298828125,0.54,-5.78851318359375,1.6565704345703125,0.75
13.711,-1.82733154296875,3.2590179443359375,0.97,-6.17999267578125,3.201934814453125,1.81
13.725,104.0,-41.5,28.83,105.82733154296875,-44.75901794433594,29.59
13.738,111.5,103.25,53.08,7.5,144.75,50.63
13.752,131.25,86.5,53.66,19.75,-16.75,8.84
13.767,28.58868408203125,45.5,7.08,-102.66131591796875,-41.0,14.56
13.781,21.0,-96.5,10.01,-7.58868408203125,-142.0,14.42
13.795,8.4761962890625,-81.5,16.07,-12.5238037109375,15.0,3.83
13.809,-0.08868408203125,1.0,0.14,-8.56488037109375,82.5,11.58
13.823,-0.5,0.45001220703125,0.23,-0.41131591796875,-0.54998779296875,0.23
13.837,-46.4761962890625,87.25,32.29,-45.9761962890625,86.79998779296875,32.09
13.855,-27.75,-121.5,19.22,18.7261962890625,-208.75,32.33
13.878,-2.61968994140625,22.36572265625,2.93,25.13031005859375,143.86572265625,18.99
13.901,32.5,-62.0,7.67,35.11968994140625,-84.36572265625,10.01
13.926,32.1964111328125,137.5,20.57,-0.3035888671875,199.5,29.06
13.944,4.21966552734375,-20.56573486328125,2.12,-27.97674560546875,-158.06573486328125,16.21
13.957,-20.5,28.0,8.04,-24.71966552734375,48.56573486328125,12.62
